trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-105.86385240523968,"{0: 20, 1: 5, 2: 2, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-187.66589377827796,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-100.68752826517198,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-112.1636379156918,"{0: 24, 1: 6, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,1,-213.16676715083315,"{0: 6, 1: 3, 2: 4, 3: 4, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-184.8955076902882,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-164.3743271588117,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-214.68889570275076,"{0: 21, 1: 0, 2: 3, 3: 2, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-59.67472175912205,"{0: 25, 1: 2, 2: 0, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-74.75170002544226,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-159.73139478971683,"{0: 11, 1: 2, 2: 0, 3: 6, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-118.61836935263719,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,21,-47.88399143163369,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,5,-64.1005378672792,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,12.107743186936586,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-104.00851567489197,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,34.603223931025305,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-48.70701675233484,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,8,26.604890526487104,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,6,-20.562887408644777,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,14,19.494631530456576,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,13,24.371961290645682,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,-20.82205560003616,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,15.000805202403201,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-29.787900104796726,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,8,-41.565420684453045,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",25,16,4.620846727383839,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,10,5.371175001697971,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-86.30553973063778,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,23.065001596259776,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
