trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-168.28409678785061,"{0: 19, 1: 1, 2: 5, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-242.1240898865643,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",25,0,-261.04328923002646,"{0: 10, 1: 4, 2: 5, 3: 2, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",30,0,-70.15642265721984,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",30,0,-188.64654941891126,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",25,0,-71.02150111130346,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,5,-120.57056856237064,"{0: 6, 1: 3, 2: 3, 3: 2, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.92274469442792}",25,0,-218.91398823009914,"{0: 13, 1: 2, 2: 4, 3: 3, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",25,0,-125.61617678691111,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",30,0,-215.36631506295583,"{0: 18, 1: 1, 2: 7, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",30,0,-225.14610191141486,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 6}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",20,0,-162.79351960112402,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,0,-200.41846092133866,"{0: 15, 1: 7, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",20,0,-63.83233535190068,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",20,13,-1.6315331681865395,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",25,17,2.4770711276161914,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",35,0,-109.74587810478386,"{0: 24, 1: 2, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",30,3,-163.25941180097132,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",25,0,-153.0358224718458,"{0: 19, 1: 0, 2: 1, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",25,0,-66.19029413660473,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212583}",25,0,-103.85538513279747,"{0: 17, 1: 3, 2: 1, 3: 3, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390458}",30,0,-58.256991373840265,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
