trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-99.8042611574226,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,7,-166.88884758110126,"{0: 7, 1: 3, 2: 4, 3: 2, 4: 2}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.84725942972495,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.957480014043,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.29640238600177,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,6,-171.06302634796964,"{0: 6, 1: 2, 2: 1, 3: 2, 4: 3}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.78019258788993,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-214.86840640122077,"{0: 6, 1: 2, 2: 9, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.23761417566902,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.39144825848751,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-16.83481541676039,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-184.24762167279943,"{0: 10, 1: 1, 2: 3, 3: 4, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.0913033903246,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-281.90058922746994,"{0: 9, 1: 4, 2: 5, 3: 3, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,2,-8.553956203789305,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-338.922177960367,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 6}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.9379799180994,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.96630970558763,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.98115723579366,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.43512769212371,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.63600956783881,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-163.08289616225002,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.65646860353047,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,7,-19.032837681498584,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.57768430636932,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-310.8918366425731,"{0: 7, 1: 3, 2: 2, 3: 2, 4: 6}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-179.97242082971806,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-196.04420808506137,"{0: 7, 1: 3, 2: 7, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,13,-35.30295355894968,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-194.15296154108455,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
